Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,13/11/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,924.111737,931.5067147,934.0151055,879.7508636,869.5845222,879.8660161,1114.832401,898.7017539,939.0931514,948.8752772,1071.235978,1109.947359,934.0935973,1172.235204,1145.856206,1152.636595,1210.787749,1204.166972,1163.241942,1249.282953,1424.373359,1174.401419,1011.530458,955.8229023,1128.294615,1131.547618,1115.329654,1175.478097,1289.929094,1251.490534,1219.212938,904.2004672,1259.083144,1156.531452,1025.917346,1266.613963,1127.27005,1144.436635,1194.469528,1292.871544,1262.448166,1264.691629,1150.176647,1296.299168,1173.854865,1296.398826,1324.806767,1348.04025,1425.67546,1553.393335,1492.89099,1653.472248,1539.111474,1653.295813,1639.94387,1510.042711,1771.175828,1737.643458,1727.181531,1864.028459,1923.422312,1841.858488,
Afghanistan,AFG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1115.1,1079,985.8,1082.8,1098.9,1012.3,1224.5,1287.5,1310.4,1105.1,976.2,1006.9,1279.6,1301.9,1316.4,1362.4,1224,1291.9,1323.7,1349,1338.3,1330.2,1355.6,1334.1,1331.7,1314,1359.8,1285.7,1237.6,1200.6,1160.4,1097.8,1132.9,1140.4,1214.5,1204.4,1348.8,1388,1285.7,806.3,1006.7,1669.8,1458,1334.8,1790.4,1551.7,1915.3,1455.4,2040.7,2011.1,1659.9,2094.2,2127.7,2096.6,2206.4,2043.3,2091.4,2253.2,2184.7,2050.8,2099,2253.3,
Africa Western and Central,AFW,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,675.3548155,702.2444559,698.0325257,691.1341873,658.3434424,643.8725076,684.3052508,666.7837728,654.6722975,691.0070343,692.2179577,639.2501163,643.4429618,829.8098271,818.8812042,691.3970613,744.4430957,777.074924,788.7698302,806.5183538,947.0383758,928.1387817,884.1689678,879.9716522,958.6947223,950.6567885,944.7141129,1005.191079,964.3806307,875.0109676,918.3575464,907.5549293,929.0062953,902.472683,962.0641278,987.2615494,966.8673047,998.3883458,1032.254595,971.6478593,1002.022205,1011.135973,1075.396268,1089.590087,1143.409931,1180.594597,1107.172677,1231.799746,1192.116359,1184.288839,1061.2675,1187.662083,1113.232272,1226.522741,1268.254186,1311.2737,1289.933693,1344.826131,1369.218277,1368.256795,1323.352771,1395.067597,
Angola,AGO,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,828,830.3,798.4,875.8,932,824.3,814.6,805.7,898.9,911.3,805.7,780.3,764,712.6,773.9,775.5,603.1,667.1,509.2,617.9,451.1,450.6,484.6,466,449.1,379.8,381.2,332.4,277.4,320.9,417.5,397.1,268,298.4,401.5,653.1,567.4,701.6,620.4,564.4,585.4,627.2,646.1,491.7,583.4,445.9,464.3,652.7,571.4,629.3,662.4,552,814.4,888.2,982.4,852.1,809,948.3,963.1,992.3,1000.1,1033.3,
Albania,ALB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,845.2,941.8,982.3,1023.3,1037.3,1318.6,1464.1,1553.7,1639.8,1646.1,1753.6,1768.7,1843,1934.5,2028.9,2445.1,2550.1,2620.2,2634.8,2364,2500.6,2715.2,3046,2966.3,2900.6,2990.3,2965.6,2875,2961.7,2794.4,2071.9,2158.6,2685,2460.9,2841.5,2450.9,2833.3,2872.1,2798.1,3175.1,3030.8,3291.9,3185.7,3466.3,3462.1,3602.6,3728.4,4081.2,4315.3,4761.8,4750.7,4883.8,4949.8,4892.6,4873.8,4716.4,4813,4840.5,5038.2,5209.2,5144.7,5200.7,
Andorra,AND,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,795.7156353,1106.092593,1040.100374,976.8330422,1012.956424,881.7177237,1008.427945,1194.540928,1085.342985,1001.91768,1117.823028,1207.27927,924.0222453,1081.602188,1073.75583,1138.33741,904.7571698,1067.385376,989.3894206,1156.736879,1072.626824,1106.807032,1010.105357,982.4755027,1156.061644,1278.706704,1183.275725,1417.625109,1236.15382,1419.125398,1531.201571,1348.105218,1397.266459,1476.543616,1362.682583,1639.825377,1367.032472,1475.797638,1466.255217,1438.342067,1584.349692,1766.03462,1789.312669,1935.330756,1524.6624,1916.06675,1680.994958,1702.601963,1959.483609,1733.853407,1866.54924,2033.244009,1967.894548,1798.643598,2166.237164,1702.394136,1884.120893,1796.068558,1948.415187,1864.670579,1957.92239,1910.165462,
United Arab Emirates,ARE,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,,,,,,,,,,,,,,,,,1166.7,1466.7,2242.9,2409.6,2018.7,2000,1417.8,1613.4,1340.2,1185.7,1106.3,808.3,1924.7,4361.2,3494.1,4368.3,4164.7,6414.5,6474,6502.1,15894,17746.3,17165.8,17504.7,17476.9,18064.6,20927.8,20373.6,20215.2,20900.8,21428.6,22265.9,24716.6,18069.8,24064.3,12112.2,36761.9,14238.4,35291.3,33396.5,30801.8,20853.3,23842.3,18982.7,19809.2,23625.3,
Argentina,ARG,Cereal yield (kg per hectare),AG.YLD.CREL.KG,,1410.7,1604.9,1511.2,1695.4,1403.2,1557,1606.4,1313.3,1554.7,1775.3,1783.5,1609.5,2041.4,2046.2,1955.9,1907.2,2134.9,2424.3,2252.2,1874.1,2425,2442.8,2330.1,2581.5,2439.5,2582.2,2382.6,2527.9,2129.4,2250.8,2433.1,2928.6,3054.5,2759.8,2900.2,2715.1,3010.7,3812,3335.6,3461.8,3398.6,3275.7,3308.7,3658.8,4075.8,3707.6,4294,4116.5,3249.3,4876.2,4596.3,4162.4,4795.6,4827.3,4779.1,5203.4,5404.6,4671.2,5474.5,5164.2,5193,5070,
